"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\assignment-info\assignment-info.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\assignment-info\assignment-info.component.ts", "TypeScript", 0, 49, 0, 21, 23, 93
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-activity\user-activity.component.html", "HTML", 47, 0, 0, 0, 3, 50
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-activity\user-activity.component.scss", "SCSS", 0, 0, 3, 0, 0, 3
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-activity\user-activity.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-activity\user-activity.component.ts", "TypeScript", 0, 88, 0, 16, 15, 119
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-calendar\user-calendar.component.html", "HTML", 7, 0, 0, 0, 0, 7
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-calendar\user-calendar.component.scss", "SCSS", 0, 0, 16, 6, 6, 28
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-calendar\user-calendar.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-calendar\user-calendar.component.ts", "TypeScript", 0, 66, 0, 0, 14, 80
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-details\user-details.component.html", "HTML", 122, 0, 0, 0, 12, 134
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-details\user-details.component.scss", "SCSS", 0, 0, 59, 9, 11, 79
